class,region,imp
pos,inside,0.023496194
pos,inside,0.00748646
pos,inside,0.010818389
pos,inside,0.1512507
pos,inside,0.026185432
pos,inside,0.05540278
pos,inside,0.02473768
pos,inside,0.016760675
pos,inside,0.01816961
pos,inside,0.046409786
pos,inside,0.01360025
pos,inside,0.024354193
pos,inside,0.1020749
pos,inside,0.024616005
pos,inside,0.014796776
pos,inside,0.045754172
pos,inside,0.030856034
pos,inside,0.015884753
pos,inside,0.021087084
pos,inside,0.02698034
pos,inside,0.039355595
pos,inside,0.008790024
pos,inside,0.046055585
pos,inside,0.008226493
pos,inside,0.124231264
pos,inside,0.009428927
pos,inside,0.055329237
pos,inside,0.035760082
pos,inside,0.16384582
pos,inside,0.0807607
pos,inside,0.05850529
pos,inside,0.026694266
pos,inside,0.030350106
pos,inside,0.036776163
pos,inside,0.06751053
pos,inside,0.059457444
pos,inside,0.06250764
pos,inside,0.0700318
pos,inside,0.016021127
pos,inside,0.034403127
pos,inside,0.009918176
pos,inside,0.09307589
pos,inside,0.084370136
pos,inside,0.023869133
pos,inside,0.07333421
pos,inside,0.022974465
pos,inside,0.033114515
pos,inside,0.0756509
pos,inside,0.054930624
pos,inside,0.013504188
pos,inside,0.038862232
pos,inside,0.08178526
pos,inside,0.011440739
pos,inside,0.082112275
pos,inside,0.05339297
pos,inside,0.011388455
pos,inside,0.042283405
pos,inside,0.045235835
pos,inside,0.044149976
pos,inside,0.089381255
pos,inside,0.08118641
pos,inside,0.037502382
pos,inside,0.019145506
pos,inside,0.07165157
pos,inside,0.008720337
pos,inside,0.019202191
pos,inside,0.031334884
pos,inside,0.068558015
pos,inside,0.020179378
pos,inside,0.021109797
pos,inside,0.013619647
pos,inside,0.017666642
pos,inside,0.03245724
pos,inside,0.04827276
pos,inside,0.0083883
pos,inside,0.014657029
pos,inside,0.022672465
pos,inside,0.015042144
pos,inside,0.013125851
pos,inside,0.040930633
pos,inside,0.010633988
pos,inside,0.0062032784
pos,inside,0.019528389
pos,inside,0.08372303
pos,inside,0.019826928
pos,inside,0.055059616
pos,inside,0.043585557
pos,inside,0.022565717
pos,inside,0.035213128
pos,inside,0.07566675
pos,inside,0.057960596
pos,inside,0.010153777
pos,inside,0.1183432
pos,inside,0.08216654
pos,inside,0.11553213
pos,inside,0.06026759
pos,inside,0.02110684
pos,inside,0.067978844
pos,inside,0.009616791
pos,inside,0.029203258
pos,inside,0.07221972
pos,inside,0.032648295
pos,inside,0.03693219
pos,inside,0.011634991
pos,inside,0.10416234
pos,inside,0.061076075
pos,inside,0.060207233
pos,inside,0.020153753
pos,inside,0.01799314
pos,inside,0.051886164
pos,inside,0.0041079978
pos,inside,0.012575764
pos,inside,0.017372012
pos,inside,0.07823547
pos,inside,0.011623034
pos,inside,0.014364455
pos,inside,0.056578018
pos,inside,0.009705489
pos,inside,0.048475523
