mark,group,bin,position_bp,epi_marg
H3K4me3,A549 G4+ promoter,95,955.0,0.00811763759702444
H3K4me3,A549 G4+ promoter,96,965.0,0.00948073249310255
H3K4me3,A549 G4+ promoter,97,975.0,0.010395608842372894
H3K4me3,A549 G4+ promoter,98,985.0,0.012981409206986427
H3K4me3,A549 G4+ promoter,99,995.0,0.038536280393600464
H3K4me3,A549 G4+ enhancer,0,5.0,0.02020924724638462
H3K4me3,A549 G4+ enhancer,1,15.0,0.011156703345477581
H3K4me3,A549 G4+ enhancer,2,25.0,0.006332448683679104
H3K4me3,A549 G4+ enhancer,3,35.0,0.0029671471565961838
H3K4me3,A549 G4+ enhancer,4,45.0,0.002657670760527253
H3K4me3,A549 G4+ enhancer,5,55.0,0.0033069404307752848
H3K4me3,A549 G4+ enhancer,6,65.0,0.005059089045971632
H3K4me3,A549 G4+ enhancer,7,75.0,0.009467381052672863
H3K4me3,A549 G4+ enhancer,8,85.0,0.014409786090254784
H3K4me3,A549 G4+ enhancer,9,95.0,0.010481803677976131
H3K4me3,A549 G4+ enhancer,10,105.0,0.009169943630695343
H3K4me3,A549 G4+ enhancer,11,115.0,0.009940734133124352
H3K4me3,A549 G4+ enhancer,12,125.0,0.007426021154969931
H3K4me3,A549 G4+ enhancer,13,135.0,0.00541928643360734
H3K4me3,A549 G4+ enhancer,14,145.0,0.008816770277917385
H3K4me3,A549 G4+ enhancer,15,155.0,0.022770268842577934
H3K4me3,A549 G4+ enhancer,16,165.0,0.011446749791502953
H3K4me3,A549 G4+ enhancer,17,175.0,0.008409429341554642
H3K4me3,A549 G4+ enhancer,18,185.0,0.010547852143645287
H3K4me3,A549 G4+ enhancer,19,195.0,0.00985940545797348
H3K4me3,A549 G4+ enhancer,20,205.0,0.008440840989351273
H3K4me3,A549 G4+ enhancer,21,215.0,0.007977917790412903
H3K4me3,A549 G4+ enhancer,22,225.0,0.007436458021402359
H3K4me3,A549 G4+ enhancer,23,235.0,0.007332893554121256
H3K4me3,A549 G4+ enhancer,24,245.0,0.006993475370109081
H3K4me3,A549 G4+ enhancer,25,255.0,0.007188270799815655
H3K4me3,A549 G4+ enhancer,26,265.0,0.006443127989768982
H3K4me3,A549 G4+ enhancer,27,275.0,0.004419555887579918
H3K4me3,A549 G4+ enhancer,28,285.0,0.0029735001735389233
H3K4me3,A549 G4+ enhancer,29,295.0,0.00386296515353024
H3K4me3,A549 G4+ enhancer,30,305.0,0.0043921200558543205
H3K4me3,A549 G4+ enhancer,31,315.0,0.004286890383809805
H3K4me3,A549 G4+ enhancer,32,325.0,0.00534861208871007
H3K4me3,A549 G4+ enhancer,33,335.0,0.013029336929321289
H3K4me3,A549 G4+ enhancer,34,345.0,0.009552812203764915
H3K4me3,A549 G4+ enhancer,35,355.0,0.0027407847810536623
H3K4me3,A549 G4+ enhancer,36,365.0,0.001886196550913155
H3K4me3,A549 G4+ enhancer,37,375.0,0.002750018145889044
H3K4me3,A549 G4+ enhancer,38,385.0,0.004814073443412781
H3K4me3,A549 G4+ enhancer,39,395.0,0.008764444850385189
H3K4me3,A549 G4+ enhancer,40,405.0,0.012731746770441532
H3K4me3,A549 G4+ enhancer,41,415.0,0.006463183555752039
H3K4me3,A549 G4+ enhancer,42,425.0,0.0065120249055325985
H3K4me3,A549 G4+ enhancer,43,435.0,0.009302846156060696
H3K4me3,A549 G4+ enhancer,44,445.0,0.011636151000857353
H3K4me3,A549 G4+ enhancer,45,455.0,0.017521269619464874
H3K4me3,A549 G4+ enhancer,46,465.0,0.024626577273011208
H3K4me3,A549 G4+ enhancer,47,475.0,0.029441287741065025
H3K4me3,A549 G4+ enhancer,48,485.0,0.02941322512924671
H3K4me3,A549 G4+ enhancer,49,495.0,0.02836030162870884
H3K4me3,A549 G4+ enhancer,50,505.0,0.02931958995759487
H3K4me3,A549 G4+ enhancer,51,515.0,0.030079863965511322
H3K4me3,A549 G4+ enhancer,52,525.0,0.02426016330718994
H3K4me3,A549 G4+ enhancer,53,535.0,0.018134817481040955
H3K4me3,A549 G4+ enhancer,54,545.0,0.012154876254498959
H3K4me3,A549 G4+ enhancer,55,555.0,0.005800568964332342
H3K4me3,A549 G4+ enhancer,56,565.0,0.003129716496914625
H3K4me3,A549 G4+ enhancer,57,575.0,0.00368233653716743
H3K4me3,A549 G4+ enhancer,58,585.0,0.010324434377253056
H3K4me3,A549 G4+ enhancer,59,595.0,0.0059781670570373535
H3K4me3,A549 G4+ enhancer,60,605.0,0.0015730177983641624
H3K4me3,A549 G4+ enhancer,61,615.0,0.0015092645771801472
H3K4me3,A549 G4+ enhancer,62,625.0,0.002235074294731021
H3K4me3,A549 G4+ enhancer,63,635.0,0.00279850116930902
H3K4me3,A549 G4+ enhancer,64,645.0,0.0032154701184481382
H3K4me3,A549 G4+ enhancer,65,655.0,0.007344140205532312
H3K4me3,A549 G4+ enhancer,66,665.0,0.006088544148951769
H3K4me3,A549 G4+ enhancer,67,675.0,0.003999093547463417
H3K4me3,A549 G4+ enhancer,68,685.0,0.004088896326720715
H3K4me3,A549 G4+ enhancer,69,695.0,0.004232979845255613
H3K4me3,A549 G4+ enhancer,70,705.0,0.004531172104179859
H3K4me3,A549 G4+ enhancer,71,715.0,0.005558809731155634
H3K4me3,A549 G4+ enhancer,72,725.0,0.006361682433634996
H3K4me3,A549 G4+ enhancer,73,735.0,0.005945177283138037
H3K4me3,A549 G4+ enhancer,74,745.0,0.007316765375435352
H3K4me3,A549 G4+ enhancer,75,755.0,0.009094185195863247
H3K4me3,A549 G4+ enhancer,76,765.0,0.010650142095983028
H3K4me3,A549 G4+ enhancer,77,775.0,0.010001561604440212
H3K4me3,A549 G4+ enhancer,78,785.0,0.007654362823814154
H3K4me3,A549 G4+ enhancer,79,795.0,0.007547461893409491
H3K4me3,A549 G4+ enhancer,80,805.0,0.008945692330598831
H3K4me3,A549 G4+ enhancer,81,815.0,0.010198351927101612
H3K4me3,A549 G4+ enhancer,82,825.0,0.011605845764279366
H3K4me3,A549 G4+ enhancer,83,835.0,0.01642591878771782
H3K4me3,A549 G4+ enhancer,84,845.0,0.00963076762855053
H3K4me3,A549 G4+ enhancer,85,855.0,0.007305107079446316
H3K4me3,A549 G4+ enhancer,86,865.0,0.009675752371549606
H3K4me3,A549 G4+ enhancer,87,875.0,0.011210952885448933
H3K4me3,A549 G4+ enhancer,88,885.0,0.008900266140699387
H3K4me3,A549 G4+ enhancer,89,895.0,0.007359796669334173
H3K4me3,A549 G4+ enhancer,90,905.0,0.012968897819519043
H3K4me3,A549 G4+ enhancer,91,915.0,0.01837875321507454
H3K4me3,A549 G4+ enhancer,92,925.0,0.010972106829285622
H3K4me3,A549 G4+ enhancer,93,935.0,0.010009446181356907
H3K4me3,A549 G4+ enhancer,94,945.0,0.009790834970772266
