cell_type,mark,mean_signal
A549,H3K4me3,0.002575438003987074
A549,H3K4me3,0.00012175659503554925
A549,H3K4me3,0.00012175658048363402
A549,H3K4me3,0.0001270905340788886
A549,H3K4me3,0.00012878564302809536
A549,H3K4me3,0.0001351160171907395
A549,H3K4me3,0.000205897624255158
A549,H3K4me3,0.00013594960910268128
A549,H3K4me3,0.00012155585136497393
A549,H3K4me3,8.385720138903707e-05
A549,H3K4me3,7.039343472570181e-05
A549,H3K4me3,0.027243968099355698
A549,H3K4me3,0.028833908960223198
A549,H3K4me3,0.02982337959110737
A549,H3K4me3,0.029574839398264885
A549,H3K4me3,0.02782483585178852
A549,H3K4me3,0.02635454759001732
A549,H3K4me3,0.018280215561389923
A549,H3K4me3,0.0001587035076227039
A549,H3K4me3,0.02696371078491211
A549,H3K4me3,0.021909495815634727
A549,H3K4me3,0.02277182601392269
A549,H3K4me3,0.04613605886697769
A549,H3K4me3,0.040185265243053436
A549,H3K4me3,0.001896246219985187
A549,H3K4me3,0.0030378045048564672
A549,H3K4me3,0.003842658596113324
A549,H3K4me3,0.003862090175971389
A549,H3K4me3,0.0003111021942459047
A549,H3K4me3,5.688211240340024e-05
A549,H3K4me3,6.0264857893344015e-05
A549,H3K4me3,0.029046395793557167
A549,H3K4me3,0.02921932004392147
A549,H3K4me3,0.029467878863215446
A549,H3K4me3,0.024246200919151306
A549,H3K4me3,0.010042843408882618
A549,H3K4me3,0.00794476643204689
A549,H3K4me3,0.006560592912137508
A549,H3K4me3,0.003416546853259206
A549,H3K4me3,0.0017191291553899646
A549,H3K4me3,0.00581525731831789
A549,H3K4me3,0.005960116162896156
A549,H3K4me3,0.0003828216576948762
A549,H3K4me3,0.000133218927658163
A549,H3K4me3,0.00010549451690167189
A549,H3K4me3,6.265463161980733e-05
A549,H3K4me3,0.011228241957724094
A549,H3K4me3,0.012334907427430153
A549,H3K4me3,0.012678944505751133
A549,H3K4me3,0.012681619264185429
A549,H3K4me3,0.012275134213268757
A549,H3K4me3,0.0012330702738836408
A549,H3K4me3,0.0010117166675627232
A549,H3K4me3,6.298070366028696e-05
A549,H3K4me3,9.539562597637996e-05
A549,H3K4me3,0.00010542882228037342
A549,H3K4me3,0.00011642673780443147
A549,H3K4me3,0.00016967981355264783
A549,H3K4me3,0.2036169171333313
A549,H3K4me3,0.16939818859100342
A549,H3K4me3,0.10505841672420502
A549,H3K4me3,0.019304171204566956
A549,H3K4me3,0.0065871044062078
A549,H3K4me3,0.004540964029729366
A549,H3K4me3,0.005002895835787058
A549,H3K4me3,0.005011877976357937
A549,H3K4me3,0.005009017884731293
A549,H3K4me3,0.005062057636678219
A549,H3K4me3,0.0004106873238924891
A549,H3K4me3,0.0001626492739887908
A549,H3K4me3,0.00016580453666392714
A549,H3K4me3,0.00015257878112606704
A549,H3K4me3,0.00011719851318048313
A549,H3K4me3,0.0001301881711697206
A549,H3K4me3,0.0011320641497150064
A549,H3K4me3,0.12317222356796265
A549,H3K4me3,0.12399611622095108
A549,H3K4me3,0.09140218794345856
A549,H3K4me3,0.08621861785650253
A549,H3K4me3,0.07573246955871582
A549,H3K4me3,0.07553020119667053
A549,H3K4me3,0.07506073266267776
A549,H3K4me3,0.07414931058883667
A549,H3K4me3,0.0698348879814148
A549,H3K4me3,0.06966650485992432
A549,H3K4me3,0.06955549120903015
A549,H3K4me3,0.06927736103534698
A549,H3K4me3,0.000244826078414917
A549,H3K4me3,0.00010967363778036088
A549,H3K4me3,9.327322186436504e-05
A549,H3K4me3,0.0002188079379266128
A549,H3K4me3,0.00016912778664845973
A549,H3K4me3,0.00016479560872539878
A549,H3K4me3,0.0001573495101183653
A549,H3K4me3,0.001003791461698711
A549,H3K4me3,0.007278729695826769
A549,H3K4me3,0.016495956107974052
A549,H3K4me3,0.028737105429172516
A549,H3K4me3,0.02932761423289776
A549,H3K4me3,0.0741158053278923
A549,H3K4me3,0.07770073413848877
A549,H3K4me3,0.07454890012741089
A549,H3K4me3,0.07459136098623276
A549,H3K4me3,0.0709194615483284
A549,H3K4me3,0.06803920120000839
A549,H3K4me3,0.047824058681726456
A549,H3K4me3,0.044161293655633926
A549,H3K4me3,0.05578198283910751
A549,H3K4me3,0.06442483514547348
A549,H3K4me3,0.08257059752941132
A549,H3K4me3,0.08009307831525803
A549,H3K4me3,0.07386522740125656
A549,H3K4me3,0.07487984746694565
A549,H3K4me3,0.07577766478061676
A549,H3K4me3,0.07572329789400101
A549,H3K4me3,0.06762762367725372
A549,H3K4me3,0.03761099651455879
A549,H3K4me3,0.025231285020709038
A549,H3K4me3,0.018340488895773888
A549,H3K4me3,7.676267705392092e-05
A549,H3K4me3,0.0002005928981816396
A549,H3K4me3,0.0002005928981816396
A549,H3K4me3,0.05571456998586655
A549,H3K4me3,0.08834520727396011
A549,H3K4me3,0.10250130295753479
A549,H3K4me3,0.14352522790431976
A549,H3K4me3,0.14498600363731384
A549,H3K4me3,0.14149342477321625
A549,H3K4me3,0.13856157660484314
A549,H3K4me3,0.1389373391866684
A549,H3K4me3,0.00017992904759012163
A549,H3K4me3,0.0001322713796980679
A549,H3K4me3,0.0001739716244628653
A549,H3K4me3,0.0002214972919318825
