group,seq_bin,epi_bin,attn_weight
A549 G4+ promoter,1,68,0.0036655955482274294
A549 G4+ promoter,1,69,0.002620397601276636
A549 G4+ promoter,1,70,0.001958513865247369
A549 G4+ promoter,1,71,0.0019115176983177662
A549 G4+ promoter,1,72,0.002874124562367797
A549 G4+ promoter,1,73,0.0049805608578026295
A549 G4+ promoter,1,74,0.005569091532379389
A549 G4+ promoter,1,75,0.004302992485463619
A549 G4+ promoter,1,76,0.0021610362455248833
A549 G4+ promoter,1,77,0.0015220458153635263
A549 G4+ promoter,1,78,0.0016161490930244327
A549 G4+ promoter,1,79,0.0025612139143049717
A549 G4+ promoter,1,80,0.004581627901643515
A549 G4+ promoter,1,81,0.007121727801859379
A549 G4+ promoter,1,82,0.012355469167232513
A549 G4+ promoter,1,83,0.012662407010793686
A549 G4+ promoter,1,84,0.0060012368485331535
A549 G4+ promoter,1,85,0.0028369766660034657
A549 G4+ promoter,1,86,0.0023637115955352783
A549 G4+ promoter,1,87,0.002697628689929843
A549 G4+ promoter,1,88,0.002231355756521225
A549 G4+ promoter,1,89,0.002187520731240511
A549 G4+ promoter,1,90,0.0027967668138444424
A549 G4+ promoter,1,91,0.003518503624945879
A549 G4+ promoter,1,92,0.0032127834856510162
A549 G4+ promoter,1,93,0.002998588839545846
A549 G4+ promoter,1,94,0.0022619536612182856
A549 G4+ promoter,1,95,0.0013699968112632632
A549 G4+ promoter,1,96,0.001651687896810472
A549 G4+ promoter,1,97,0.003804858075454831
A549 G4+ promoter,1,98,0.012980729341506958
A549 G4+ promoter,1,99,0.04429826885461807
A549 G4+ promoter,2,0,0.03470315411686897
A549 G4+ promoter,2,1,0.007492861710488796
A549 G4+ promoter,2,2,0.003919420298188925
A549 G4+ promoter,2,3,0.004072577692568302
A549 G4+ promoter,2,4,0.006145776249468327
A549 G4+ promoter,2,5,0.009556754492223263
A549 G4+ promoter,2,6,0.01646149903535843
A549 G4+ promoter,2,7,0.024243133142590523
A549 G4+ promoter,2,8,0.013974114321172237
A549 G4+ promoter,2,9,0.004353304393589497
A549 G4+ promoter,2,10,0.00226046284660697
A549 G4+ promoter,2,11,0.002249035518616438
A549 G4+ promoter,2,12,0.002508806297555566
A549 G4+ promoter,2,13,0.0025589712895452976
A549 G4+ promoter,2,14,0.0023868323769420385
A549 G4+ promoter,2,15,0.003339249873533845
A549 G4+ promoter,2,16,0.00365464948117733
A549 G4+ promoter,2,17,0.003888432402163744
A549 G4+ promoter,2,18,0.0032626029569655657
A549 G4+ promoter,2,19,0.0021541891619563103
A549 G4+ promoter,2,20,0.0016186581924557686
A549 G4+ promoter,2,21,0.0020873805042356253
A549 G4+ promoter,2,22,0.0038187727332115173
A549 G4+ promoter,2,23,0.007355589885264635
A549 G4+ promoter,2,24,0.009252849034965038
A549 G4+ promoter,2,25,0.007023635320365429
A549 G4+ promoter,2,26,0.004094294272363186
A549 G4+ promoter,2,27,0.0035833416040986776
A549 G4+ promoter,2,28,0.004529296886175871
A549 G4+ promoter,2,29,0.008532343432307243
A549 G4+ promoter,2,30,0.013929806649684906
A549 G4+ promoter,2,31,0.014129833318293095
A549 G4+ promoter,2,32,0.01134017575532198
A549 G4+ promoter,2,33,0.008469847962260246
A549 G4+ promoter,2,34,0.006453137844800949
A549 G4+ promoter,2,35,0.0073713269084692
A549 G4+ promoter,2,36,0.009392958134412766
A549 G4+ promoter,2,37,0.010461464524269104
A549 G4+ promoter,2,38,0.010298342444002628
A549 G4+ promoter,2,39,0.010905713774263859
A549 G4+ promoter,2,40,0.012286574579775333
A549 G4+ promoter,2,41,0.013071509078145027
A549 G4+ promoter,2,42,0.01272833626717329
A549 G4+ promoter,2,43,0.012324548326432705
A549 G4+ promoter,2,44,0.017652280628681183
A549 G4+ promoter,2,45,0.04312463104724884
A549 G4+ promoter,2,46,0.0988638624548912
A549 G4+ promoter,2,47,0.11117678135633469
A549 G4+ promoter,2,48,0.06586499512195587
A549 G4+ promoter,2,49,0.03640218824148178
A549 G4+ promoter,2,50,0.018046777695417404
A549 G4+ promoter,2,51,0.007980485446751118
A549 G4+ promoter,2,52,0.004051573108881712
A549 G4+ promoter,2,53,0.003480843733996153
A549 G4+ promoter,2,54,0.005008226726204157
A549 G4+ promoter,2,55,0.007789952214807272
A549 G4+ promoter,2,56,0.007516467012465
A549 G4+ promoter,2,57,0.005590241402387619
A549 G4+ promoter,2,58,0.0036489779595285654
A549 G4+ promoter,2,59,0.0029888590797781944
A549 G4+ promoter,2,60,0.0035996895749121904
A549 G4+ promoter,2,61,0.005572548136115074
A549 G4+ promoter,2,62,0.005678052082657814
A549 G4+ promoter,2,63,0.0039198631420731544
A549 G4+ promoter,2,64,0.0025894714053720236
A549 G4+ promoter,2,65,0.003100019646808505
A549 G4+ promoter,2,66,0.0038629546761512756
A549 G4+ promoter,2,67,0.004242877010256052
A549 G4+ promoter,2,68,0.0037570227868855
A549 G4+ promoter,2,69,0.002583594061434269
A549 G4+ promoter,2,70,0.0019755850080400705
A549 G4+ promoter,2,71,0.0019692748319357634
A549 G4+ promoter,2,72,0.002907699206843972
A549 G4+ promoter,2,73,0.0050031878054142
A549 G4+ promoter,2,74,0.0056556472554802895
A549 G4+ promoter,2,75,0.004395518451929092
A549 G4+ promoter,2,76,0.0023276288993656635
A549 G4+ promoter,2,77,0.0015882598236203194
A549 G4+ promoter,2,78,0.0016627394361421466
A549 G4+ promoter,2,79,0.002604965353384614
A549 G4+ promoter,2,80,0.0045727998949587345
A549 G4+ promoter,2,81,0.007078349124640226
A549 G4+ promoter,2,82,0.012249610386788845
A549 G4+ promoter,2,83,0.012587235309183598
A549 G4+ promoter,2,84,0.006024742964655161
A549 G4+ promoter,2,85,0.0028444910421967506
A549 G4+ promoter,2,86,0.002366107888519764
A549 G4+ promoter,2,87,0.002663282910361886
A549 G4+ promoter,2,88,0.0022383832838386297
A549 G4+ promoter,2,89,0.002212612656876445
A549 G4+ promoter,2,90,0.002807331271469593
A549 G4+ promoter,2,91,0.0035290210507810116
A549 G4+ promoter,2,92,0.0032399643678218126
A549 G4+ promoter,2,93,0.0030193638522177935
A549 G4+ promoter,2,94,0.0022757549304515123
A549 G4+ promoter,2,95,0.0014332396676763892
A549 G4+ promoter,2,96,0.0017150969943031669
A549 G4+ promoter,2,97,0.0038264072500169277
A549 G4+ promoter,2,98,0.012719780206680298
A549 G4+ promoter,2,99,0.04416712000966072
A549 G4+ promoter,3,0,0.0350082628428936
A549 G4+ promoter,3,1,0.007643327582627535
A549 G4+ promoter,3,2,0.004012056160718203
A549 G4+ promoter,3,3,0.004061924759298563
A549 G4+ promoter,3,4,0.005945560522377491
A549 G4+ promoter,3,5,0.009230046533048153
A549 G4+ promoter,3,6,0.016146451234817505
A549 G4+ promoter,3,7,0.024598058313131332
A549 G4+ promoter,3,8,0.014491491951048374
A549 G4+ promoter,3,9,0.004617903381586075
A549 G4+ promoter,3,10,0.002406112151220441
A549 G4+ promoter,3,11,0.0023568812757730484
A549 G4+ promoter,3,12,0.0025839919690042734
A549 G4+ promoter,3,13,0.0026308868546038866
A549 G4+ promoter,3,14,0.00239150645211339
A549 G4+ promoter,3,15,0.0033026773016899824
A549 G4+ promoter,3,16,0.003669014200568199
A549 G4+ promoter,3,17,0.004032952710986137
A549 G4+ promoter,3,18,0.003410060191527009
A549 G4+ promoter,3,19,0.002319015795364976
A549 G4+ promoter,3,20,0.0017715459689497948
A549 G4+ promoter,3,21,0.002274614293128252
A549 G4+ promoter,3,22,0.004033974837511778
A549 G4+ promoter,3,23,0.007609901018440723
A549 G4+ promoter,3,24,0.009736424311995506
A549 G4+ promoter,3,25,0.0074862027540802956
A549 G4+ promoter,3,26,0.004411785863339901
A549 G4+ promoter,3,27,0.00377727416343987
A549 G4+ promoter,3,28,0.004793042782694101
A549 G4+ promoter,3,29,0.008663960732519627
A549 G4+ promoter,3,30,0.013694941066205502
A549 G4+ promoter,3,31,0.013774968683719635
A549 G4+ promoter,3,32,0.011187760159373283
A549 G4+ promoter,3,33,0.008511317893862724
A549 G4+ promoter,3,34,0.006728826556354761
A549 G4+ promoter,3,35,0.007944539189338684
A549 G4+ promoter,3,36,0.010137232020497322
A549 G4+ promoter,3,37,0.010912089608609676
A549 G4+ promoter,3,38,0.010559603571891785
A549 G4+ promoter,3,39,0.011239193379878998
A549 G4+ promoter,3,40,0.012756328098475933
A549 G4+ promoter,3,41,0.013728096149861813
A549 G4+ promoter,3,42,0.013352984562516212
A549 G4+ promoter,3,43,0.012392628937959671
A549 G4+ promoter,3,44,0.016767200082540512
A549 G4+ promoter,3,45,0.0407789871096611
A549 G4+ promoter,3,46,0.09808314591646194
A549 G4+ promoter,3,47,0.11155206710100174
A549 G4+ promoter,3,48,0.0636390820145607
A549 G4+ promoter,3,49,0.03469207510352135
A549 G4+ promoter,3,50,0.017422476783394814
A549 G4+ promoter,3,51,0.00782625563442707
A549 G4+ promoter,3,52,0.004034864250570536
A549 G4+ promoter,3,53,0.0034325451124459505
A549 G4+ promoter,3,54,0.0049553243443369865
A549 G4+ promoter,3,55,0.007663295604288578
A549 G4+ promoter,3,56,0.0073189204558730125
A549 G4+ promoter,3,57,0.0054688467644155025
A549 G4+ promoter,3,58,0.00359667488373816
A549 G4+ promoter,3,59,0.0030215932056307793
A549 G4+ promoter,3,60,0.003552845446392894
A549 G4+ promoter,3,61,0.005549690220504999
A549 G4+ promoter,3,62,0.005587121471762657
A549 G4+ promoter,3,63,0.0038660974241793156
A549 G4+ promoter,3,64,0.0025649622548371553
A549 G4+ promoter,3,65,0.0030920603312551975
A549 G4+ promoter,3,66,0.00392791535705328
A549 G4+ promoter,3,67,0.004396388772875071
A549 G4+ promoter,3,68,0.003919975366443396
A549 G4+ promoter,3,69,0.0027313458267599344
A549 G4+ promoter,3,70,0.0020258117001503706
A549 G4+ promoter,3,71,0.001961206551641226
A549 G4+ promoter,3,72,0.002940974198281765
A549 G4+ promoter,3,73,0.005084681324660778
A549 G4+ promoter,3,74,0.005836652126163244
A549 G4+ promoter,3,75,0.004631591495126486
A549 G4+ promoter,3,76,0.002511016558855772
A549 G4+ promoter,3,77,0.0017357702599838376
A549 G4+ promoter,3,78,0.0018348844023421407
A549 G4+ promoter,3,79,0.00277887936681509
A549 G4+ promoter,3,80,0.004649139940738678
A549 G4+ promoter,3,81,0.006992619019001722
A549 G4+ promoter,3,82,0.01214571762830019
A549 G4+ promoter,3,83,0.01244660746306181
A549 G4+ promoter,3,84,0.005965425632894039
A549 G4+ promoter,3,85,0.002912511583417654
A549 G4+ promoter,3,86,0.002415544120594859
A549 G4+ promoter,3,87,0.002682941500097513
A549 G4+ promoter,3,88,0.002262361813336611
A549 G4+ promoter,3,89,0.002266354626044631
A549 G4+ promoter,3,90,0.0027802123222500086
A549 G4+ promoter,3,91,0.0034621593076735735
A549 G4+ promoter,3,92,0.003320433432236314
A549 G4+ promoter,3,93,0.003109022043645382
A549 G4+ promoter,3,94,0.0023887786082923412
A549 G4+ promoter,3,95,0.001503041130490601
A549 G4+ promoter,3,96,0.0017833785386756063
A549 G4+ promoter,3,97,0.0038059984799474478
A549 G4+ promoter,3,98,0.012229632586240768
A549 G4+ promoter,3,99,0.04375748336315155
A549 G4+ promoter,4,0,0.03513465076684952
A549 G4+ promoter,4,1,0.007934768684208393
A549 G4+ promoter,4,2,0.0040964665822684765
A549 G4+ promoter,4,3,0.004086465109139681
A549 G4+ promoter,4,4,0.005746967624872923
A549 G4+ promoter,4,5,0.00885865930467844
A549 G4+ promoter,4,6,0.015911951661109924
A549 G4+ promoter,4,7,0.024954944849014282
A549 G4+ promoter,4,8,0.01502847671508789
A549 G4+ promoter,4,9,0.004923451226204634
A549 G4+ promoter,4,10,0.0025970530696213245
A549 G4+ promoter,4,11,0.0024901442229747772
A549 G4+ promoter,4,12,0.002691390225663781
A549 G4+ promoter,4,13,0.00271165044978261
A549 G4+ promoter,4,14,0.002471228362992406
A549 G4+ promoter,4,15,0.003298825351521373
A549 G4+ promoter,4,16,0.0037240341771394014
A549 G4+ promoter,4,17,0.0041807787492871284
A549 G4+ promoter,4,18,0.0035924373660236597
A549 G4+ promoter,4,19,0.0025051343254745007
A549 G4+ promoter,4,20,0.0019401796162128448
A549 G4+ promoter,4,21,0.002480816561728716
A549 G4+ promoter,4,22,0.004314548801630735
A549 G4+ promoter,4,23,0.008026198484003544
A549 G4+ promoter,4,24,0.010272269137203693
A549 G4+ promoter,4,25,0.00804330687969923
A549 G4+ promoter,4,26,0.0047911303117871284
A549 G4+ promoter,4,27,0.004028393421322107
A549 G4+ promoter,4,28,0.004946995992213488
A549 G4+ promoter,4,29,0.008547580800950527
A549 G4+ promoter,4,30,0.013186606578528881
A549 G4+ promoter,4,31,0.013108449056744576
A549 G4+ promoter,4,32,0.010834256187081337
A549 G4+ promoter,4,33,0.008448835462331772
A549 G4+ promoter,4,34,0.006951045244932175
A549 G4+ promoter,4,35,0.00850007962435484
A549 G4+ promoter,4,36,0.010792044922709465
A549 G4+ promoter,4,37,0.011436338536441326
